seqID,syll_1,syll_2,syll_3,syll_4
seq_0057,A3_i_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0058,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0059,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0060,A3_i_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0061,A3_i_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0062,A3_i_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0063,A3_i_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0064,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0065,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0066,A2_e_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0067,A2_e_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0068,A2_e_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0069,A2_e_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0070,A2_e_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0071,A2_e_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0072,A2_i_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0073,A2_i_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0074,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0075,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0076,A2_i_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0077,A2_i_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0078,A2_i_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0079,A2_i_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0080,A3_e_g.mp3,B3_o_k.mp3,A2_e_d.mp3,B2_o_t.mp3
seq_0081,A3_e_g.mp3,B3_o_k.mp3,A2_e_d.mp3,B2_u_t.mp3
seq_0082,A3_e_g.mp3,B3_u_k.mp3,A2_e_d.mp3,B2_o_t.mp3
seq_0083,A3_e_g.mp3,B3_u_k.mp3,A2_e_d.mp3,B2_u_t.mp3
seq_0084,A3_e_g.mp3,B3_o_k.mp3,A2_i_d.mp3,B2_o_t.mp3
seq_0085,A3_e_g.mp3,B3_o_k.mp3,A2_i_d.mp3,B2_u_t.mp3
seq_0086,A3_e_g.mp3,B3_u_k.mp3,A2_i_d.mp3,B2_o_t.mp3
seq_0087,A3_e_g.mp3,B3_u_k.mp3,A2_i_d.mp3,B2_u_t.mp3
seq_0088,A3_i_g.mp3,B3_o_k.mp3,A2_e_d.mp3,B2_o_t.mp3
seq_0089,A3_i_g.mp3,B3_o_k.mp3,A2_e_d.mp3,B2_u_t.mp3
seq_0090,A3_i_g.mp3,B3_u_k.mp3,A2_e_d.mp3,B2_o_t.mp3
seq_0091,A3_i_g.mp3,B3_u_k.mp3,A2_e_d.mp3,B2_u_t.mp3
seq_0092,A3_i_g.mp3,B3_o_k.mp3,A2_i_d.mp3,B2_o_t.mp3
seq_0093,A3_i_g.mp3,B3_o_k.mp3,A2_i_d.mp3,B2_u_t.mp3
seq_0094,A3_i_g.mp3,B3_u_k.mp3,A2_i_d.mp3,B2_o_t.mp3
seq_0095,A3_i_g.mp3,B3_u_k.mp3,A2_i_d.mp3,B2_u_t.mp3
