seqID,syll_1,syll_2,syll_3,syll_4,syll_5,syll_6
seq_0024,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3,A2_i_d.mp3,B3_u_k.mp3
seq_0025,A1_e_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_o_k.mp3,A2_e_d.mp3,B3_u_k.mp3
seq_0026,A2_i_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B3_u_k.mp3
seq_0027,A3_e_g.mp3,B3_u_k.mp3,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B1_o_p.mp3
seq_0028,A1_i_b.mp3,B1_o_p.mp3,A2_i_d.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0029,A3_i_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B2_o_t.mp3,A2_e_d.mp3,B2_o_t.mp3
seq_0030,A1_i_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B2_u_t.mp3,A2_i_d.mp3,B2_u_t.mp3
seq_0031,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B3_o_k.mp3
seq_0032,A3_i_g.mp3,B3_u_k.mp3,A2_e_d.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0033,A2_e_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A1_i_b.mp3,B3_u_k.mp3
seq_0034,A2_i_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0035,A1_e_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B1_u_p.mp3,A2_e_d.mp3,B2_u_t.mp3
seq_0036,A3_i_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_u_p.mp3,A2_e_d.mp3,B1_u_p.mp3
seq_0037,A3_i_g.mp3,B3_u_k.mp3,A2_i_d.mp3,B1_u_p.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0038,A3_i_g.mp3,B3_u_k.mp3,A2_e_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B1_u_p.mp3
seq_0039,A1_e_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B2_u_t.mp3
seq_0040,A2_e_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A2_e_d.mp3,B3_u_k.mp3
seq_0041,A1_i_b.mp3,B1_u_p.mp3,A2_i_d.mp3,B3_u_k.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0042,A3_i_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B2_o_t.mp3,A2_i_d.mp3,B2_o_t.mp3
seq_0043,A1_e_b.mp3,B1_u_p.mp3,A2_e_d.mp3,B3_o_k.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0044,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B2_u_t.mp3,A2_e_d.mp3,B2_o_t.mp3
seq_0045,A3_e_g.mp3,B3_o_k.mp3,A2_i_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B2_u_t.mp3
seq_0046,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A3_i_g.mp3,B1_o_p.mp3
seq_0047,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B3_u_k.mp3
seq_0048,A3_i_g.mp3,B3_u_k.mp3,A2_e_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B2_o_t.mp3
seq_0049,A1_i_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B1_u_p.mp3,A2_e_d.mp3,B2_u_t.mp3
